,text,intent,clean_text
941,Give me a voice message from this writing,convert_to_audio,give me a voice message from this writing
942,Speak this note out loud,convert_to_audio,speak this note out loud
944,Turn this writing into spoken audio,convert_to_audio,turn this writing into spoken audio
945,Say these lines as a voice recording,convert_to_audio,say these lines as a voice recording
946,Create an audio version of this message,convert_to_audio,create an audio version of this message
948,Produce a spoken audio file from this text,convert_to_audio,produce a spoken audio file from this text
949,Make a voiceover of this sentence,convert_to_audio,make a voiceover of this sentence
951,Give me a reading voice of this paragraph,convert_to_audio,give me a reading voice of this paragraph
952,Speak this message with natural tone,convert_to_audio,speak this message with natural tone
953,Create a speech file from this content,convert_to_audio,create a speech file from this content
954,Convert this note into an audio clip,convert_to_audio,convert this note into an audio clip
955,Please say this sentence aloud,convert_to_audio,please say this sentence aloud
956,Make a voice message from these words,convert_to_audio,make a voice message from these words
957,Read this text in a clear voice,convert_to_audio,read this text in a clear voice
958,Produce a vocal version of this note,convert_to_audio,produce a vocal version of this note
959,Turn these words into an audio file,convert_to_audio,turn these words into an audio file
960,Say this paragraph in a spoken form,convert_to_audio,say this paragraph in a spoken form
961,Create a voice recording from this sentence,convert_to_audio,create a voice recording from this sentence
962,Make this text into a sound message,convert_to_audio,make this text into a sound message
963,Please read these words aloud,convert_to_audio,please read these words aloud
964,Turn this message into vocal speech,convert_to_audio,turn this message into vocal speech
965,Speak this note clearly,convert_to_audio,speak this note clearly
966,Produce an audio clip for this writing,convert_to_audio,produce an audio clip for this writing
967,Give me a spoken message from this text,convert_to_audio,give me a spoken message from this text
968,Make a voice recording of these sentences,convert_to_audio,make a voice recording of these sentences
969,Turn this text into an audio playback,convert_to_audio,turn this text into an audio playback
970,Read this note as speech,convert_to_audio,read this note as speech
971,Please generate a voice file for this message,convert_to_audio,please generate a voice file for this message
972,Say these words in a vocal format,convert_to_audio,say these words in a vocal format
973,Create a spoken word file from this text,convert_to_audio,create a spoken word file from this text
974,Make this paragraph into an audio message,convert_to_audio,make this paragraph into an audio message
975,Turn this content into speech,convert_to_audio,turn this content into speech
976,Speak this writing with expression,convert_to_audio,speak this writing with expression
977,Produce a voiceover from this note,convert_to_audio,produce a voiceover from this note
978,Read this message aloud for me,convert_to_audio,read this message aloud for me
979,Give me a vocal reading of this text,convert_to_audio,give me a vocal reading of this text
980,Make an audio message out of this sentence,convert_to_audio,make an audio message out of this sentence
981,Turn this text into a voice note,convert_to_audio,turn this text into a voice note
982,Please say these sentences aloud,convert_to_audio,please say these sentences aloud
983,Create a voice clip from this paragraph,convert_to_audio,create a voice clip from this paragraph
984,Make a spoken version of this note,convert_to_audio,make a spoken version of this note
985,Turn this writing into a speech file,convert_to_audio,turn this writing into a speech file
987,Produce an audio reading of this text,convert_to_audio,produce an audio reading of this text
988,Read these words with natural voice,convert_to_audio,read these words with natural voice
989,Make this note into vocal audio,convert_to_audio,make this note into vocal audio
991,Please create a spoken message from this,convert_to_audio,please create a spoken message from this
992,Say these lines with emotion,convert_to_audio,say these lines with emotion
993,Produce a voice recording of these sentences,convert_to_audio,produce a voice recording of these sentences
995,Make a vocal version of this message,convert_to_audio,make a vocal version of this message
996,Turn this sentence into speech,convert_to_audio,turn this sentence into speech
997,Give me an audio file for this writing,convert_to_audio,give me an audio file for this writing
998,Speak this note with clarity,convert_to_audio,speak this note with clarity
999,Create a voice message from this paragraph,convert_to_audio,create a voice message from this paragraph
1000,Please read this content aloud,convert_to_audio,please read this content aloud
1001,Make an audio clip from these sentences,convert_to_audio,make an audio clip from these sentences
1002,Turn this text into a vocal message,convert_to_audio,turn this text into a vocal message
1003,Say this paragraph with expression,convert_to_audio,say this paragraph with expression
1004,Produce a spoken word message from this,convert_to_audio,produce a spoken word message from this
1005,Read this note in a clear voice,convert_to_audio,read this note in a clear voice
1006,Make a voice file of these words,convert_to_audio,make a voice file of these words
1007,Turn this writing into vocal speech,convert_to_audio,turn this writing into vocal speech
1008,Speak this message out loud for me,convert_to_audio,speak this message out loud for me
1009,Create an audio recording of this note,convert_to_audio,create an audio recording of this note
1010,Please say this sentence clearly,convert_to_audio,please say this sentence clearly
1011,Make a spoken recording of this text,convert_to_audio,make a spoken recording of this text
1012,Turn these words into an audio recording,convert_to_audio,turn these words into an audio recording
1013,Convert this text into an audio file,convert_to_audio,convert this text into an audio file
1014,Please read this message out loud,convert_to_audio,please read this message out loud
1015,Make a voice version of this paragraph,convert_to_audio,make a voice version of this paragraph
1016,Turn these words into spoken audio,convert_to_audio,turn these words into spoken audio
1017,I want to hear this as a voice message,convert_to_audio,i want to hear this as a voice message
1018,Speak this text clearly,convert_to_audio,speak this text clearly
1019,Produce an audio reading of this note,convert_to_audio,produce an audio reading of this note
1020,Make this sentence into a speech file,convert_to_audio,make this sentence into a speech file
1021,Give me a vocal playback of this text,convert_to_audio,give me a vocal playback of this text
1022,Please say this paragraph aloud,convert_to_audio,please say this paragraph aloud
1023,Create an audio message from this content,convert_to_audio,create an audio message from this content
1024,Turn this writing into a voice clip,convert_to_audio,turn this writing into a voice clip
1025,Read these words aloud for me,convert_to_audio,read these words aloud for me
1026,Make a spoken recording from this text,convert_to_audio,make a spoken recording from this text
1027,Convert this note into vocal speech,convert_to_audio,convert this note into vocal speech
1029,Produce a voice file from this paragraph,convert_to_audio,produce a voice file from this paragraph
1030,Please make an audio version of this message,convert_to_audio,please make an audio version of this message
1031,Give me a reading voice of this sentence,convert_to_audio,give me a reading voice of this sentence
1032,Turn this content into spoken words,convert_to_audio,turn this content into spoken words
1033,Speak this note loudly,convert_to_audio,speak this note loudly
1034,Make a voice clip from these words,convert_to_audio,make a voice clip from these words
1035,Read this text with a clear voice,convert_to_audio,read this text with a clear voice
1036,Create a spoken version of this writing,convert_to_audio,create a spoken version of this writing
1037,Turn these sentences into an audio recording,convert_to_audio,turn these sentences into an audio recording
1038,Please say this message aloud,convert_to_audio,please say this message aloud
1039,Make a vocal recording of this note,convert_to_audio,make a vocal recording of this note
1040,Convert this text to a voice message,convert_to_audio,convert this text to a voice message
1041,Give me an audio file of this paragraph,convert_to_audio,give me an audio file of this paragraph
1042,Speak this sentence clearly,convert_to_audio,speak this sentence clearly
1043,Produce speech audio from this writing,convert_to_audio,produce speech audio from this writing
1044,Please read this note loudly,convert_to_audio,please read this note loudly
1046,Turn this sentence into spoken audio,convert_to_audio,turn this sentence into spoken audio
1047,Say this paragraph as a voice clip,convert_to_audio,say this paragraph as a voice clip
1048,Create a voice recording from these words,convert_to_audio,create a voice recording from these words
1049,Read this message out loud for me,convert_to_audio,read this message out loud for me
1050,Make a vocal playback of this text,convert_to_audio,make a vocal playback of this text
1052,Speak this note with clear tone,convert_to_audio,speak this note with clear tone
1053,Produce an audio clip from this sentence,convert_to_audio,produce an audio clip from this sentence
1054,Please say this paragraph loudly,convert_to_audio,please say this paragraph loudly
1055,Make a voice message of these words,convert_to_audio,make a voice message of these words
1056,Convert this note into vocal audio,convert_to_audio,convert this note into vocal audio
1057,Give me a spoken version of this text,convert_to_audio,give me a spoken version of this text
1058,Speak this sentence with emotion,convert_to_audio,speak this sentence with emotion
1059,Produce an audio recording of this note,convert_to_audio,produce an audio recording of this note
1060,Please read this text aloud clearly,convert_to_audio,please read this text aloud clearly
1061,Make an audio playback of this sentence,convert_to_audio,make an audio playback of this sentence
1062,Turn this writing into a voice message,convert_to_audio,turn this writing into a voice message
1063,Say these words as a vocal clip,convert_to_audio,say these words as a vocal clip
1064,Create a spoken word file from this note,convert_to_audio,create a spoken word file from this note
1065,Read this paragraph with clear voice,convert_to_audio,read this paragraph with clear voice
1066,Make a voice file of this message,convert_to_audio,make a voice file of this message
1067,Turn this text into speech audio,convert_to_audio,turn this text into speech audio
1068,Speak this message clearly for me,convert_to_audio,speak this message clearly for me
1069,Produce a vocal recording from this text,convert_to_audio,produce a vocal recording from this text
1070,Please say this note out loud,convert_to_audio,please say this note out loud
1071,Make an audio file from these words,convert_to_audio,make an audio file from these words
1072,Turn this sentence into a voice clip,convert_to_audio,turn this sentence into a voice clip
1074,Speak this writing with clarity,convert_to_audio,speak this writing with clarity
1075,Produce a voiceover of this note,convert_to_audio,produce a voiceover of this note
1077,Make a vocal version of this text,convert_to_audio,make a vocal version of this text
1078,Turn this paragraph into a spoken message,convert_to_audio,turn this paragraph into a spoken message
1079,Say these sentences with expression,convert_to_audio,say these sentences with expression
1080,Create a voice clip from this writing,convert_to_audio,create a voice clip from this writing
1081,Please read this note with a clear voice,convert_to_audio,please read this note with a clear voice
1082,Make an audio recording of this paragraph,convert_to_audio,make an audio recording of this paragraph
1083,Turn these words into a vocal message,convert_to_audio,turn these words into a vocal message
1084,Speak this text with clear pronunciation,convert_to_audio,speak this text with clear pronunciation
1085,Produce an audio file from this message,convert_to_audio,produce an audio file from this message
1086,Please say this paragraph with emotion,convert_to_audio,please say this paragraph with emotion
1088,Turn this writing into a voice note,convert_to_audio,turn this writing into a voice note
1089,Say this message clearly for me,convert_to_audio,say this message clearly for me
1090,Give me an audio version of this sentence,convert_to_audio,give me an audio version of this sentence
1091,Speak this note out loud with clarity,convert_to_audio,speak this note out loud with clarity
1093,Please read this message aloud with feeling,convert_to_audio,please read this message aloud with feeling
1094,Make an audio clip of this writing,convert_to_audio,make an audio clip of this writing
1095,Turn this text into a spoken audio message,convert_to_audio,turn this text into a spoken audio message
1096,Say this sentence as a voice message,convert_to_audio,say this sentence as a voice message
1097,Produce a vocal recording from these words,convert_to_audio,produce a vocal recording from these words
1098,Read this paragraph aloud for me,convert_to_audio,read this paragraph aloud for me
1099,Make a voice file of this note,convert_to_audio,make a voice file of this note
1100,Turn these words into an audio clip,convert_to_audio,turn these words into an audio clip
1101,Speak this text with natural tone,convert_to_audio,speak this text with natural tone
1102,Produce a spoken word message from this content,convert_to_audio,produce a spoken word message from this content
1103,Please say this writing aloud,convert_to_audio,please say this writing aloud
1104,Make an audio message from these sentences,convert_to_audio,make an audio message from these sentences
1105,Convert this paragraph into an audio message,convert_to_audio,convert this paragraph into an audio message
1107,Make this writing into a spoken file,convert_to_audio,make this writing into a spoken file
1108,Turn these sentences into voice playback,convert_to_audio,turn these sentences into voice playback
1109,I want to listen to this text as audio,convert_to_audio,i want to listen to this text as audio
1110,Read this out loud for me,convert_to_audio,read this out loud for me
1111,Produce a voice version of this note,convert_to_audio,produce a voice version of this note
1112,Create an audio file from this message,convert_to_audio,create an audio file from this message
1113,Please say these words in audio,convert_to_audio,please say these words in audio
1114,Make a speech audio from this paragraph,convert_to_audio,make a speech audio from this paragraph
1115,Turn this text into a spoken voice file,convert_to_audio,turn this text into a spoken voice file
1116,Speak this sentence in a clear voice,convert_to_audio,speak this sentence in a clear voice
1117,Give me a vocal recording of this message,convert_to_audio,give me a vocal recording of this message
1118,Convert these notes to a voice clip,convert_to_audio,convert these notes to a voice clip
1119,Say this message with expression,convert_to_audio,say this message with expression
1120,Produce an audio playback of this writing,convert_to_audio,produce an audio playback of this writing
1121,Please read this sentence aloud,convert_to_audio,please read this sentence aloud
1122,Make a voice file out of these words,convert_to_audio,make a voice file out of these words
1123,Turn this text into an audio recording,convert_to_audio,turn this text into an audio recording
1124,Speak this note clearly and loudly,convert_to_audio,speak this note clearly and loudly
1125,Create a vocal message from this paragraph,convert_to_audio,create a vocal message from this paragraph
1126,Read this writing aloud for me,convert_to_audio,read this writing aloud for me
1127,Make a speech file from these sentences,convert_to_audio,make a speech file from these sentences
1128,Turn this note into spoken audio,convert_to_audio,turn this note into spoken audio
1129,Say this text with clear pronunciation,convert_to_audio,say this text with clear pronunciation
1130,Produce a vocal clip of this message,convert_to_audio,produce a vocal clip of this message
1131,Please say this paragraph in voice,convert_to_audio,please say this paragraph in voice
1132,Make an audio reading of this text,convert_to_audio,make an audio reading of this text
1133,Turn these sentences into a voice recording,convert_to_audio,turn these sentences into a voice recording
1135,Give me a voiceover of this writing,convert_to_audio,give me a voiceover of this writing
1136,Convert this note to audio playback,convert_to_audio,convert this note to audio playback
1137,Please vocalize these words,convert_to_audio,please vocalize these words
1138,Make a spoken word file from this paragraph,convert_to_audio,make a spoken word file from this paragraph
1139,Turn this message into voice audio,convert_to_audio,turn this message into voice audio
1140,Say this writing clearly and loudly,convert_to_audio,say this writing clearly and loudly
1141,Produce a voice message from this note,convert_to_audio,produce a voice message from this note
1142,Please read this sentence with feeling,convert_to_audio,please read this sentence with feeling
1145,Speak this message with emotion,convert_to_audio,speak this message with emotion
1146,Create a vocal recording of this paragraph,convert_to_audio,create a vocal recording of this paragraph
1147,Read this note aloud with clarity,convert_to_audio,read this note aloud with clarity
1148,Make a voice file from this writing,convert_to_audio,make a voice file from this writing
1149,Turn this text into speech playback,convert_to_audio,turn this text into speech playback
1150,Speak this note clearly for me,convert_to_audio,speak this note clearly for me
1151,Produce an audio recording of this message,convert_to_audio,produce an audio recording of this message
1152,Please say this paragraph out loud,convert_to_audio,please say this paragraph out loud
1153,Make a vocal playback of these words,convert_to_audio,make a vocal playback of these words
1154,Turn this writing into an audio message,convert_to_audio,turn this writing into an audio message
1155,Say this message in a clear voice,convert_to_audio,say this message in a clear voice
1156,Create a spoken version of this note,convert_to_audio,create a spoken version of this note
1157,Read this paragraph aloud with expression,convert_to_audio,read this paragraph aloud with expression
1158,Make a voice clip from this text,convert_to_audio,make a voice clip from this text
1159,Turn these sentences into voice audio,convert_to_audio,turn these sentences into voice audio
1160,Speak this writing clearly and softly,convert_to_audio,speak this writing clearly and softly
1161,Produce a voice recording of this message,convert_to_audio,produce a voice recording of this message
1162,Please say this note with emotion,convert_to_audio,please say this note with emotion
1163,Make an audio version of this paragraph,convert_to_audio,make an audio version of this paragraph
1165,Say these words aloud for me,convert_to_audio,say these words aloud for me
1166,Create an audio file from this note,convert_to_audio,create an audio file from this note
1167,Read this message clearly for me,convert_to_audio,read this message clearly for me
1168,Make a voice message out of this writing,convert_to_audio,make a voice message out of this writing
1169,Turn these sentences into a spoken clip,convert_to_audio,turn these sentences into a spoken clip
1170,Speak this paragraph with clarity,convert_to_audio,speak this paragraph with clarity
1171,Produce a vocal clip from this text,convert_to_audio,produce a vocal clip from this text
1172,Please read this note with clear voice,convert_to_audio,please read this note with clear voice
1173,Make an audio recording of these sentences,convert_to_audio,make an audio recording of these sentences
1175,Say this text with clear enunciation,convert_to_audio,say this text with clear enunciation
1176,Create a voice file from this paragraph,convert_to_audio,create a voice file from this paragraph
1177,Read this sentence out loud for me,convert_to_audio,read this sentence out loud for me
1178,Make a vocal playback of this note,convert_to_audio,make a vocal playback of this note
1180,Speak this message softly,convert_to_audio,speak this message softly
1181,Produce a spoken word file from this message,convert_to_audio,produce a spoken word file from this message
1182,Please say this writing aloud clearly,convert_to_audio,please say this writing aloud clearly
1183,Make an audio message from this text,convert_to_audio,make an audio message from this text
1184,Can you make this spoken content?,convert_to_audio,can you make this spoken content
1185,Convert this into a voice narration,convert_to_audio,convert this into a voice narration
1186,Give me a soundbite version,convert_to_audio,give me a soundbite version
1187,I'd prefer to hear this text,convert_to_audio,id prefer to hear this text
1188,Speak this in a professional tone,convert_to_audio,speak this in a professional tone
1189,Narrate this out loud,convert_to_audio,narrate this out loud
1190,Turn this into something I can play,convert_to_audio,turn this into something i can play
1191,Read this like an audio assistant,convert_to_audio,read this like an audio assistant
1192,I want to listen to this instead,convert_to_audio,i want to listen to this instead
1193,Give me an audio expression of this,convert_to_audio,give me an audio expression of this
1194,Say this using automated voice,convert_to_audio,say this using automated voice
1195,Generate a narrated voice track,convert_to_audio,generate a narrated voice track
1196,I'd like this in voice narration form,convert_to_audio,id like this in voice narration form
1197,Speak these lines like an AI,convert_to_audio,speak these lines like an ai
1198,Produce a vocal readout,convert_to_audio,produce a vocal readout
1199,Tell me what’s written here,convert_to_audio,tell me whats written here
1200,Use a human-like voice to say this,convert_to_audio,use a humanlike voice to say this
1201,Can I hear a reading of this?,convert_to_audio,can i hear a reading of this
1202,I'd enjoy hearing this spoken,convert_to_audio,id enjoy hearing this spoken
1203,Give me an audio playback of the text,convert_to_audio,give me an audio playback of the text
1204,Please convert this document to audio,convert_to_audio,please convert this document to audio
1205,Convert this chat into voice,convert_to_audio,convert this chat into voice
1206,Voice synthesize this response,convert_to_audio,voice synthesize this response
1207,Can you play this in speech format?,convert_to_audio,can you play this in speech format
1208,Say these instructions using voice,convert_to_audio,say these instructions using voice
1209,Transform this chat message into sound,convert_to_audio,transform this chat message into sound
1210,I'd love to hear it spoken,convert_to_audio,id love to hear it spoken
1211,Speak this back to me like a narrator,convert_to_audio,speak this back to me like a narrator
1212,Use audio synthesis to vocalize this,convert_to_audio,use audio synthesis to vocalize this
1213,Let me hear what this sentence sounds like,convert_to_audio,let me hear what this sentence sounds like
1214,Say this out using your speech engine,convert_to_audio,say this out using your speech engine
1215,Speak the following using text-to-speech,convert_to_audio,speak the following using texttospeech
1216,Provide a verbal conversion of this,convert_to_audio,provide a verbal conversion of this
1217,Say it like you're reading a script,convert_to_audio,say it like youre reading a script
1218,Render this via speech generation,convert_to_audio,render this via speech generation
1219,I'd like to hear this part out loud,convert_to_audio,id like to hear this part out loud
1220,Turn this written material into audio,convert_to_audio,turn this written material into audio
1221,Speak this input as a voice reply,convert_to_audio,speak this input as a voice reply
1222,Can you voice this out with clarity?,convert_to_audio,can you voice this out with clarity
1223,Use digital speech to express this,convert_to_audio,use digital speech to express this
1224,Read this back to me in voice format,convert_to_audio,read this back to me in voice format
1225,I need to hear this in spoken tone,convert_to_audio,i need to hear this in spoken tone
1226,Say this aloud in a clear voice,convert_to_audio,say this aloud in a clear voice
1227,Convert this info into a voice clip,convert_to_audio,convert this info into a voice clip
1228,I'd like to play this sentence,convert_to_audio,id like to play this sentence
1229,Make a voice file of this,convert_to_audio,make a voice file of this
1230,Can you read this text using a voice tool?,convert_to_audio,can you read this text using a voice tool
1231,Let me hear this through voice rendering,convert_to_audio,let me hear this through voice rendering
1232,Turn this into audio using a robotic voice,convert_to_audio,turn this into audio using a robotic voice
1233,Narrate this text as if reading to an audience,convert_to_audio,narrate this text as if reading to an audience
1234,I'd like this converted to an audio clip,convert_to_audio,id like this converted to an audio clip
1235,Speak this part using a virtual assistant tone,convert_to_audio,speak this part using a virtual assistant tone
1236,I want this message spoken by AI,convert_to_audio,i want this message spoken by ai
1237,Use voice technology to say this,convert_to_audio,use voice technology to say this
1238,Speak it like a synthetic reader,convert_to_audio,speak it like a synthetic reader
1239,Voice render this entire message,convert_to_audio,voice render this entire message
1240,Please make this spoken version available,convert_to_audio,please make this spoken version available
1241,Can this be heard using voice tech?,convert_to_audio,can this be heard using voice tech
1242,Say this as an automated assistant,convert_to_audio,say this as an automated assistant
1243,I need this as a voice output now,convert_to_audio,i need this as a voice output now
1244,Read this through an audio interface,convert_to_audio,read this through an audio interface
1245,I'd like this transformed into audio,convert_to_audio,id like this transformed into audio
1246,Convert this note into something audible,convert_to_audio,convert this note into something audible
1247,Produce a voice summary,convert_to_audio,produce a voice summary
1248,Please read this text out loud digitally,convert_to_audio,please read this text out loud digitally
1249,Say this phrase using your vocal module,convert_to_audio,say this phrase using your vocal module
1250,Convert this into speech that I can hear,convert_to_audio,convert this into speech that i can hear
1251,I'd rather hear this out,convert_to_audio,id rather hear this out
1252,Use AI to say this message,convert_to_audio,use ai to say this message
1253,Play this message with voice AI,convert_to_audio,play this message with voice ai
1254,Let me hear this reply in speech,convert_to_audio,let me hear this reply in speech
1255,Please speak this portion,convert_to_audio,please speak this portion
1256,Give me audio content for this,convert_to_audio,give me audio content for this
1257,Can I get this as an audible file?,convert_to_audio,can i get this as an audible file
1258,Tell this to me out loud,convert_to_audio,tell this to me out loud
1259,Say this sentence using your voice system,convert_to_audio,say this sentence using your voice system
1260,Read out loud this part,convert_to_audio,read out loud this part
1261,Use your speech module to say this,convert_to_audio,use your speech module to say this
1262,Play a voice clip with this content,convert_to_audio,play a voice clip with this content
1263,Say this so I can hear it,convert_to_audio,say this so i can hear it
1264,I'd like to hear this now,convert_to_audio,id like to hear this now
1266,Read the input like a podcast,convert_to_audio,read the input like a podcast
1267,Give me audio delivery of this info,convert_to_audio,give me audio delivery of this info
1268,Please use voice to say this message,convert_to_audio,please use voice to say this message
1269,Can you make an MP3 audio from this?,convert_to_audio,can you make an mp3 audio from this
1270,Say this section with synthesized voice,convert_to_audio,say this section with synthesized voice
1271,Turn this paragraph into a speech format,convert_to_audio,turn this paragraph into a speech format
1272,Convert this chat to a sound clip,convert_to_audio,convert this chat to a sound clip
1273,Produce a clear spoken file,convert_to_audio,produce a clear spoken file
1274,I'd like to hear this text narrated,convert_to_audio,id like to hear this text narrated
1275,Read this aloud as a message,convert_to_audio,read this aloud as a message
1276,Speak this passage using automated reading,convert_to_audio,speak this passage using automated reading
1277,Turn this string into a voice format,convert_to_audio,turn this string into a voice format
1278,Generate audio from these sentences,convert_to_audio,generate audio from these sentences
1279,Say it as if you are a news presenter,convert_to_audio,say it as if you are a news presenter
1280,Please read this like an audio response,convert_to_audio,please read this like an audio response
1281,Transform this written line to audio,convert_to_audio,transform this written line to audio
1282,Use your voice model to speak this,convert_to_audio,use your voice model to speak this
1283,Play this script aloud,convert_to_audio,play this script aloud
